Entity,Year,Respiratory infections,Cardiovascular diseases,Alzheimer,Chronic kidney,Chronic respiratory,Digestive diseases,Hepatitis,Parkinson disease,Fire,Malaria,Drowning ,violence,HIV/AIDS,Tuberculosis,Road injuries,Alcohol use,Diarrheal diseases,Nutritional deficiencies,Suicide,Diabetes mellitus
World,1990,3415941.251,11941533.32,1022007.024,613746.3778,3317205.122,1714979.055,146879.9495,147985.4221,146482.6947,672540.2192,531956.0291,353134.7885,348599.5653,1607709.113,1150716.695,112572.7454,2578291.692,568075.207,758518.9891,607428.0375
World,1991,3387085.897,12118293.12,1059652.193,625366.1004,3378940.907,1747087.043,148436.5491,152390.5789,147103.2468,693010.7272,531081.8365,364816.8907,442148.1839,1611302.204,1163123.834,119213.0442,2559317.544,560874.2884,777951.181,626893.2918
World,1992,3354598.739,12337835.94,1094414.443,641468.7381,3438690.502,1777129.701,149500.5198,156575.2961,148241.4695,711554.7789,531759.7796,387322.1452,548500.0712,1624707.567,1185205.01,131138.9351,2510532.05,551576.9931,806203.833,649180.8501
World,1993,3316736.933,12699753.54,1134179.139,655651.7008,3485854.599,1803458.913,150109.3036,161748.0616,149954.8553,729753.5148,533767.2669,418473.2787,664115.7573,1621321.928,1207598.112,149117.9089,2463313.118,541168.1287,832531.9554,674464.3255
World,1994,3269525.527,12929774.85,1168609.64,669061.0049,3522353.911,1824966.185,149698.9743,166100.0182,150822.9124,743160.5853,530348.5451,422459.4852,787138.1587,1618872.448,1228685.03,162614.0416,2415807.521,534084.2341,851480.6455,697427.5108
World,1995,3228872.229,13041558.9,1203911.038,683229.7476,3543249.021,1845053.171,149628.1924,170684.5757,149394.9732,761633.549,524007.0155,425987.083,913327.4605,1610794.183,1245447.436,163993.9768,2366170.883,601954.4023,859246.6312,721517.4501
World,1996,3174942.504,13085432.7,1235769.502,698048.3499,3568727.372,1856866.876,148450.1404,175021.3286,146318.2643,777027.377,509799.5724,421337.3869,1028065.978,1601427.477,1246354.796,159359.6758,2303104.288,583423.3025,847744.5626,746744.2228
World,1997,3137364.244,13178040.42,1268597.761,718767.7099,3618802.41,1874412.452,149210.9123,180029.1635,145368.918,797105.3571,497630.2782,420279.7449,1134822.231,1618969.452,1252159.765,154948.6442,2259534.046,570175.1478,842011.6487,774957.6344
World,1998,3090783.064,13281787.72,1305068.897,738604.3251,3646099.516,1888826.942,149290.3281,185697.6684,142740.3057,816746.9318,484088.1371,423723.3064,1260347.859,1623417.886,1256549.329,154968.7993,2222649.772,556440.4534,838271.9523,800794.9096
World,1999,3031894.116,13499184.4,1344743.074,757592.8794,3608996.18,1904721.087,148988.1313,191729.0076,143265.7496,834704.2559,469527.0274,433530.1412,1398342.878,1617651.986,1271619.901,162104.3862,2175624.172,543702.5381,841716.3692,825878.0549
World,2000,2976685.133,13698711.84,1382558.187,777533.08,3588978.02,1921459.954,148876.7451,197892.2952,143432.5526,851796.8355,456990.4564,444118.7519,1534878.096,1615142.916,1282553.265,169032.8108,2132157.484,534575.2999,832890.7557,851459.9774
World,2001,2914161.52,13870332.32,1424449.284,794781.9923,3562842.165,1940058.246,148690.7787,204712.1483,141777.3707,885067.7554,439354.5235,439121.8744,1647049.807,1590690.054,1276394.252,173709.1699,2080393.698,516800.0547,806619.371,877081.5754
World,2002,2861260.276,14150328.1,1472212.537,816350.6768,3550457.67,1961517.385,147218.8089,212609.2529,140120.5893,911240.3889,417527.9557,446675.2766,1752835.294,1563440.131,1276378.902,179430.4569,2030303.707,499175.4492,794114.3007,908639.0138
World,2003,2818023.759,14396608.97,1520602.641,838402.8164,3532600.47,1983984.125,145333.5079,220546.1514,139501.1017,934058.1662,397139.2081,430600.5141,1844993.674,1526150.429,1269859.829,184025.5739,1983870.585,404096.6735,795231.9819,938810.497
World,2004,2766652.546,14404858.49,1557595.534,851300.4545,3457417.143,1998199.893,145059.1565,225252.4087,136694.4194,934553.2222,388832.7558,424951.4624,1910178.171,1478036.266,1274468.427,185851.7594,1946119.766,389315.03,797239.1581,955389.5025
World,2005,2735776.734,14607808.95,1611703.526,876694.0456,3415929.274,2025280.715,146902.4281,232509.9283,136243.9496,927117.1517,381166.9389,419246.2998,1948779.287,1454475.416,1284406.701,190843.5755,1919760.043,376380.6851,805645.3042,983173.0759
World,2006,2700150.775,14551012.89,1660257.994,895590.4892,3375284.751,2042343.783,142575.141,238285.3601,132821.1508,909906.4982,365641.6004,412236.0649,1953141.269,1419890.376,1278964.623,183932.6693,1905243.545,365215.6721,791824.8054,997947.3261
World,2007,2673539.719,14687670.81,1719635.423,919877.6937,3380896.025,2061953.864,140152.7448,246216.7409,131027.6267,895535.8458,356387.4263,403383.4172,1919733.143,1390563.671,1284048.36,180030.8388,1882353.306,354626.136,785135.9029,1016711.011
World,2008,2657274.865,15008284.23,1790400.261,952855.2651,3419368.869,2089797.861,139418.3016,256201.6033,129844.0875,874093.801,351864.6643,406817.0226,1846161.894,1369508.361,1295450.639,179987.0132,1867835.596,345703.368,789447.0071,1045381.392
World,2009,2639561.697,15274314.39,1863443.987,986668.2338,3469692.942,2111719.567,137789.7949,266001.7265,128564.7961,831489.3344,345936.3515,407415.0328,1762777.762,1344136.835,1299797.26,175052.8644,1865671.033,338690.9815,791222.7576,1070186.049
World,2010,2623649.325,15619617.48,1943960.548,1019564.657,3522114.241,2135809.687,137075.6426,275884.2709,127876.5892,788445.0315,340727.7205,409123.0474,1653323.874,1317584.934,1299938.523,174237.3783,1857640.02,341835.0277,796083.6452,1096401.653
World,2011,2616651.133,15859735.27,2025064.453,1052780.019,3550904.878,2158948.212,136180.9827,285104.923,126281.9753,755546.4045,334093.5276,405563.4643,1535582.325,1293092.603,1294560.606,170736.6692,1793640.91,329818.0685,793977.9061,1129958.721
World,2012,2605153.543,16115488.92,2098870.936,1082857.097,3555092.506,2181850.048,134719.7381,293549.4909,124807.0622,725678.3041,328373.6887,407886.3342,1416898.607,1265602.131,1288487.029,169930.0319,1725017.626,309650.9537,786335.5549,1168568.723
World,2013,2590482.267,16284022.18,2168918.276,1112929.294,3570845.129,2205206.368,131795.2255,300878.4588,123173.4621,710116.0138,320294.6811,402497.0214,1300347.219,1243289.523,1268582.182,170965.2477,1664193.009,298365.543,779212.5498,1202742.765
World,2014,2579537.75,16628359.2,2253865.912,1147229.45,3638293.678,2242740.945,129254.8945,310499.4768,121853.9267,695007.5363,312887.4989,397393.2373,1202192.57,1225655.486,1263051.645,173684.6985,1619718.293,289184.8451,781716.6972,1249134.822
World,2015,2582198.939,17139990.07,2353633.71,1185371.785,3739117.541,2288953.458,127011.0679,322526.6563,121676.378,662165.9946,307845.1814,399740.7601,1121361.994,1211338.085,1254514.328,178372.486,1578438.909,282498.0119,782941.1629,1299555.869
World,2016,2574625.102,17524369.77,2440042.154,1216962.894,3826620.275,2335479.621,126754.0247,332506.4624,121392.0957,625834.4801,303335.017,394940.5973,1041797.9,1200508.385,1252392.235,181679.0945,1550848.404,274881.0274,788674.5648,1346427.734
World,2017,2558606.074,17790948.9,2514618.901,1230168.046,3914196.03,2377684.942,126390.5911,340639.1678,120631.9721,619826.6347,295210.4254,405346.2409,954491.7472,1183672.09,1243067.728,184934.2418,1569555.871,269996.9177,793823.4691,1369848.959
