year,Pb,CO,NO2,O3,PM2.5,PM10,SO2
1990,9,-35,-62,25,-1,-43,68
1991,9,-35,-63,26,-1,-42,60
1992,9,-40,-64,19,-1,-50,57
1993,9,-45,-64,21,-1,-51,46
1994,9,-41,-63,21,-1,-52,45
1995,9,-48,-64,28,-1,-51,17
1996,9,-52,-65,22,-1,-57,12
1997,9,-55,-67,21,-1,-56,14
1998,9,-56,-67,28,-1,-59,13
1999,9,-58,-65,25,-1,-54,14
2000,9,-61,-67,17,-1,-56,6
2001,9,-65,-68,18,1,-57,3
2002,9,-67,-69,25,-2,-58,-6
2003,9,-69,-70,17,-10,-57,-5
2004,9,-71,-72,7,-8,-62,-8
2005,9,-75,-73,14,-2,-61,-5
2006,9,-76,-74,12,-15,-61,-12
2007,9,-79,-75,12,-10,-58,-16
2008,9,-80,-76,7,-21,-62,-26
2009,9,-81,-78,-1,-28,-66,-35
2010,9,-82,-79,4,-28,-66,-40
2011,9,-82,-80,5,-29,-63,-49
2012,-6,-83,-80,7,-37,-63,-53
2013,-43,-84,-81,-4,-34,-60,-59
2014,-65,-84,-82,-4,-36,-62,-60
2015,-77,-84,-82,-2,-37,-64,-67
2016,-79,-84,-83,-2,-45,-65,-76
2017,-80,-85,-84,-3,-40,-62,-81
2018,-81,-83,-84,-1,-34,-57,-81
